,alpha,train_acc,test_acc
0,0.25,0.11237660085378869,0.1135
1,0.5,0.9482890875133404,0.9359
2,1.0,0.9911286019210246,0.9686
3,1.5,0.9968816702241196,0.9739
4,2.0,0.9981156616862327,0.9726
5,2.5,0.9987493329775881,0.9757
6,3.0,0.998849386339381,0.9778
7,4.0,0.9989327641408752,0.9775
8,5.0,0.9987993596584845,0.9783
9,6.0,0.9986326040554963,0.9789
10,7.0,0.9977988260405549,0.9782
11,8.0,0.9975320170757738,0.9792
12,9.0,0.9969150213447172,0.9777
13,10.0,0.996648212379936,0.9801
