,alpha,train_acc,test_acc
0,0.1,0.9945637673425827,0.9712
1,0.2,0.9945637673425827,0.9704
2,0.25,0.9950473585912487,0.972
3,0.3,0.9948639274279616,0.9724
4,0.4,0.9950807097118464,0.9731
5,0.5,0.9945137406616862,0.9701
6,0.6,0.9941135272145144,0.9727
7,0.7,0.9938800693703308,0.9737
8,0.75,0.9936632870864461,0.9718
9,0.8,0.9938133671291356,0.972
10,0.9,0.9926294023479189,0.9735
