,alpha,train_acc,test_acc
0,0.25,0.9984825240128068,0.9793
1,0.5,0.9988827374599787,0.9769
2,0.75,0.9977487993596584,0.9726
3,1.0,0.9960478922091782,0.971
4,1.5,0.9925293489861259,0.9712
5,2.0,0.9864594450373533,0.9649
6,2.5,0.9829742529348986,0.9652
7,3.0,0.9781216648879403,0.9617
8,4.0,0.9768209711846318,0.965
9,5.0,0.9667155816435432,0.9557
