,alpha,train_acc,test_acc
0,0.25,0.9972485325506937,0.9769
1,0.5,0.9985158751334045,0.9743
2,0.75,0.9982323906083245,0.9751
3,1.0,0.9976654215581644,0.9755
4,1.5,0.9960312166488794,0.9719
5,2.0,0.9941969050160085,0.9739
6,2.5,0.9918623265741728,0.9702
7,3.0,0.9914454375667022,0.9711
8,4.0,0.9869930629669157,0.968
9,5.0,0.9848585912486659,0.9682
