,alpha,train_acc,test_acc
0,0.25,0.9961145944503735,0.9749
1,0.5,0.9980322838847385,0.9752
2,0.75,0.9981323372465315,0.974
3,1.0,0.9978488527214514,0.9749
4,1.5,0.9969817235859125,0.974
5,2.0,0.9960979188900747,0.9735
6,2.5,0.9948972785485592,0.9715
7,3.0,0.9934465048025614,0.9738
8,4.0,0.9923959445037354,0.9739
9,5.0,0.9897778815368197,0.9682
